NODE_22_length_120613_cov_15.351228_65	K27882
NODE_40_length_67826_cov_15.440066_76	K19591
NODE_21_length_125267_cov_15.263681_100	K19577
NODE_36_length_74020_cov_14.397778_43	K19548
NODE_27_length_95996_cov_14.791851_32	K19430
NODE_32_length_86311_cov_14.776014_36	K19429
NODE_27_length_95996_cov_14.791851_31	K19428
NODE_34_length_81483_cov_15.360059_72	K19422
NODE_3_length_306466_cov_15.086084_110	K19338
NODE_18_length_142879_cov_15.039453_93	K19338
NODE_30_length_92583_cov_14.901034_87	K19338
NODE_8_length_217158_cov_14.654045_49	K19337
NODE_4_length_279979_cov_15.072070_125	K19333
NODE_42_length_64206_cov_14.657704_55	K19304
NODE_2_length_310327_cov_15.040480_45	K19294
NODE_15_length_153375_cov_15.028157_107	K19286
NODE_27_length_95996_cov_14.791851_51	K19285
NODE_16_length_147595_cov_15.526419_83	K19267
NODE_12_length_169171_cov_14.675599_71	K19222
NODE_21_length_125267_cov_15.263681_54	K19200
NODE_14_length_154169_cov_15.539522_37	K19176
NODE_10_length_177970_cov_16.619580_20	K19055
NODE_3_length_306466_cov_15.086084_184	K18979
NODE_18_length_142879_cov_15.039453_87	K18968
NODE_28_length_94401_cov_15.028746_16	K18941
NODE_4_length_279979_cov_15.072070_217	K18935
NODE_22_length_120613_cov_15.351228_106	K18929
NODE_22_length_120613_cov_15.351228_109	K18928
NODE_29_length_93441_cov_15.090619_5	K18893
NODE_51_length_33233_cov_13.639491_8	K18829
NODE_51_length_33233_cov_13.639491_7	K18828
NODE_28_length_94401_cov_15.028746_43	K18707
NODE_14_length_154169_cov_15.539522_4	K18649
NODE_14_length_154169_cov_15.539522_121	K18613
NODE_31_length_89275_cov_14.498901_7	K18612
NODE_10_length_177970_cov_16.619580_79	K18592
NODE_8_length_217158_cov_14.654045_121	K18588
NODE_26_length_99679_cov_14.870952_34	K18587
NODE_11_length_174094_cov_16.181546_156	K18561
NODE_6_length_241499_cov_14.686123_108	K18478
NODE_33_length_85796_cov_14.378690_56	K18478
NODE_36_length_74020_cov_14.397778_54	K18459
NODE_2_length_310327_cov_15.040480_227	K18456
NODE_28_length_94401_cov_15.028746_49	K18453
NODE_188_length_459_cov_1.054217_1	K18383
NODE_12_length_169171_cov_14.675599_66	K18335
NODE_94_length_836_cov_43.651622_2	K18320
NODE_5_length_270224_cov_14.756047_46	K18313
NODE_41_length_66375_cov_14.877928_8	K18306
NODE_7_length_227087_cov_15.662125_136	K18303
NODE_43_length_60437_cov_14.044056_12	K18301
NODE_15_length_153375_cov_15.028157_112	K18291
NODE_18_length_142879_cov_15.039453_89	K18289
NODE_31_length_89275_cov_14.498901_52	K18263
NODE_381_length_392_cov_0.932075_1	K18235
NODE_2_length_310327_cov_15.040480_295	K18234
NODE_6_length_241499_cov_14.686123_44	K18209
NODE_6_length_241499_cov_14.686123_182	K18208
NODE_7_length_227087_cov_15.662125_102	K18164
NODE_12_length_169171_cov_14.675599_117	K18162
NODE_4_length_279979_cov_15.072070_10	K18139
NODE_33_length_85796_cov_14.378690_11	K18138
NODE_41_length_66375_cov_14.877928_9	K18138
NODE_43_length_60437_cov_14.044056_13	K18138
NODE_48_length_36510_cov_13.865212_32	K18030
NODE_48_length_36510_cov_13.865212_31	K18029
NODE_3_length_306466_cov_15.086084_123	K18013
NODE_4_length_279979_cov_15.072070_28	K18009
NODE_16_length_147595_cov_15.526419_11	K18009
NODE_16_length_147595_cov_15.526419_25	K18009
NODE_33_length_85796_cov_14.378690_41	K17839
NODE_1_length_319143_cov_14.787312_131	K17836
NODE_12_length_169171_cov_14.675599_143	K17828
NODE_12_length_169171_cov_14.675599_136	K17737
NODE_7_length_227087_cov_15.662125_212	K17724
NODE_61_length_13626_cov_13.673087_12	K17713
NODE_19_length_138999_cov_14.097017_36	K17690
NODE_40_length_67826_cov_15.440066_75	K17686
NODE_10_length_177970_cov_16.619580_116	K17680
NODE_5_length_270224_cov_14.756047_175	K17675
NODE_11_length_174094_cov_16.181546_66	K17675
NODE_1_length_319143_cov_14.787312_233	K17662
NODE_27_length_95996_cov_14.791851_99	K17487
NODE_52_length_27378_cov_13.808154_5	K17468
NODE_112_length_588_cov_1.075922_1	K17382
NODE_9_length_184078_cov_14.554794_132	K17247
NODE_4_length_279979_cov_15.072070_163	K17227
NODE_30_length_92583_cov_14.901034_17	K17227
NODE_30_length_92583_cov_14.901034_16	K17226
NODE_4_length_279979_cov_15.072070_162	K17222
NODE_37_length_72040_cov_14.537580_4	K17103
NODE_27_length_95996_cov_14.791851_56	K17074
NODE_2_length_310327_cov_15.040480_15	K16899
NODE_2_length_310327_cov_15.040480_16	K16898
NODE_328_length_409_cov_0.879433_1	K16872
NODE_9_length_184078_cov_14.554794_119	K16871
NODE_9_length_184078_cov_14.554794_37	K16842
NODE_30_length_92583_cov_14.901034_36	K16842
NODE_38_length_70687_cov_15.037500_38	K16841
NODE_7_length_227087_cov_15.662125_124	K16787
NODE_14_length_154169_cov_15.539522_17	K16703
NODE_22_length_120613_cov_15.351228_95	K16699
NODE_3_length_306466_cov_15.086084_44	K16669
NODE_50_length_33531_cov_13.565471_9	K16593
NODE_44_length_55864_cov_14.241348_42	K16566
NODE_6_length_241499_cov_14.686123_124	K16555
NODE_32_length_86311_cov_14.776014_47	K16554
NODE_9_length_184078_cov_14.554794_57	K16233
NODE_37_length_72040_cov_14.537580_39	K16191
NODE_22_length_120613_cov_15.351228_99	K16165
NODE_29_length_93441_cov_15.090619_59	K16092
NODE_48_length_36510_cov_13.865212_5	K16090
NODE_11_length_174094_cov_16.181546_62	K16087
NODE_12_length_169171_cov_14.675599_48	K16066
NODE_6_length_241499_cov_14.686123_72	K16013
NODE_6_length_241499_cov_14.686123_71	K16012
NODE_5_length_270224_cov_14.756047_71	K16011
NODE_5_length_270224_cov_14.756047_206	K15987
NODE_27_length_95996_cov_14.791851_7	K15977
NODE_3_length_306466_cov_15.086084_145	K15919
NODE_5_length_270224_cov_14.756047_39	K15889
NODE_2_length_310327_cov_15.040480_157	K15866
NODE_21_length_125267_cov_15.263681_21	K15856
NODE_34_length_81483_cov_15.360059_39	K15832
NODE_10_length_177970_cov_16.619580_40	K15784
NODE_4_length_279979_cov_15.072070_66	K15772
NODE_3_length_306466_cov_15.086084_78	K15771
NODE_4_length_279979_cov_15.072070_67	K15771
NODE_13_length_162950_cov_15.688465_143	K15747
NODE_8_length_217158_cov_14.654045_86	K15738
NODE_23_length_117044_cov_16.890880_65	K15735
NODE_43_length_60437_cov_14.044056_21	K15735
NODE_8_length_217158_cov_14.654045_4	K15724
NODE_10_length_177970_cov_16.619580_166	K15640
NODE_2_length_310327_cov_15.040480_86	K15633
NODE_20_length_134083_cov_15.432179_93	K15628
NODE_17_length_147460_cov_14.527709_40	K15620
NODE_1_length_319143_cov_14.787312_140	K15600
NODE_1_length_319143_cov_14.787312_141	K15599
NODE_1_length_319143_cov_14.787312_142	K15598
NODE_11_length_174094_cov_16.181546_26	K15585
NODE_45_length_44171_cov_17.054037_41	K15585
NODE_45_length_44171_cov_17.054037_31	K15584
NODE_1_length_319143_cov_14.787312_194	K15583
NODE_4_length_279979_cov_15.072070_115	K15583
NODE_8_length_217158_cov_14.654045_68	K15583
NODE_25_length_107545_cov_15.299885_40	K15583
NODE_32_length_86311_cov_14.776014_73	K15583
NODE_47_length_36994_cov_14.926221_18	K15583
NODE_55_length_25122_cov_14.783437_8	K15583
NODE_4_length_279979_cov_15.072070_113	K15581
NODE_10_length_177970_cov_16.619580_42	K15581
NODE_3_length_306466_cov_15.086084_119	K15580
NODE_13_length_162950_cov_15.688465_80	K15580
NODE_14_length_154169_cov_15.539522_43	K15580
NODE_19_length_138999_cov_14.097017_71	K15580
NODE_21_length_125267_cov_15.263681_50	K15580
NODE_37_length_72040_cov_14.537580_36	K15580
NODE_47_length_36994_cov_14.926221_15	K15580
NODE_55_length_25122_cov_14.783437_3	K15580
NODE_66_length_9139_cov_15.301931_6	K15580
NODE_6_length_241499_cov_14.686123_97	K15577
NODE_6_length_241499_cov_14.686123_96	K15576
NODE_7_length_227087_cov_15.662125_142	K15555
NODE_9_length_184078_cov_14.554794_112	K15555
NODE_15_length_153375_cov_15.028157_103	K15555
NODE_7_length_227087_cov_15.662125_143	K15554
NODE_9_length_184078_cov_14.554794_111	K15554
NODE_50_length_33531_cov_13.565471_4	K15554
NODE_9_length_184078_cov_14.554794_110	K15553
NODE_15_length_153375_cov_15.028157_101	K15553
NODE_15_length_153375_cov_15.028157_102	K15552
NODE_6_length_241499_cov_14.686123_54	K15537
NODE_31_length_89275_cov_14.498901_62	K15521
NODE_48_length_36510_cov_13.865212_18	K15509
NODE_32_length_86311_cov_14.776014_37	K15460
NODE_20_length_134083_cov_15.432179_1	K15371
NODE_21_length_125267_cov_15.263681_10	K15342
NODE_107_length_620_cov_1.468560_1	K15342
NODE_17_length_147460_cov_14.527709_49	K15270
NODE_38_length_70687_cov_15.037500_45	K15270
NODE_2_length_310327_cov_15.040480_144	K15034
NODE_11_length_174094_cov_16.181546_130	K15016
NODE_4_length_279979_cov_15.072070_185	K14998
NODE_10_length_177970_cov_16.619580_65	K14981
NODE_5_length_270224_cov_14.756047_61	K14980
NODE_16_length_147595_cov_15.526419_54	K14855
NODE_20_length_134083_cov_15.432179_28	K14742
NODE_7_length_227087_cov_15.662125_153	K14733
NODE_1_length_319143_cov_14.787312_239	K14652
NODE_6_length_241499_cov_14.686123_62	K14415
NODE_5_length_270224_cov_14.756047_112	K14393
NODE_15_length_153375_cov_15.028157_149	K14261
NODE_16_length_147595_cov_15.526419_82	K14205
NODE_76_length_2626_cov_22.212485_1	K14194
NODE_82_length_1492_cov_22.731868_1	K14194
NODE_21_length_125267_cov_15.263681_105	K14162
NODE_18_length_142879_cov_15.039453_135	K14161
NODE_8_length_217158_cov_14.654045_165	K14160
NODE_9_length_184078_cov_14.554794_66	K14155
NODE_59_length_17185_cov_12.955856_14	K13993
NODE_133_length_490_cov_1.024793_1	K13963
NODE_1_length_319143_cov_14.787312_178	K13953
NODE_22_length_120613_cov_15.351228_4	K13936
NODE_36_length_74020_cov_14.397778_37	K13936
NODE_14_length_154169_cov_15.539522_8	K13896
NODE_14_length_154169_cov_15.539522_7	K13895
NODE_14_length_154169_cov_15.539522_6	K13894
NODE_14_length_154169_cov_15.539522_5	K13893
NODE_4_length_279979_cov_15.072070_14	K13892
NODE_16_length_147595_cov_15.526419_99	K13891
NODE_55_length_25122_cov_14.783437_1	K13891
NODE_17_length_147460_cov_14.527709_19	K13890
NODE_1_length_319143_cov_14.787312_192	K13889
NODE_30_length_92583_cov_14.901034_64	K13889
NODE_35_length_75451_cov_17.892929_53	K13888
NODE_26_length_99679_cov_14.870952_85	K13875
NODE_3_length_306466_cov_15.086084_143	K13831
NODE_30_length_92583_cov_14.901034_35	K13821
NODE_59_length_17185_cov_12.955856_2	K13796
NODE_59_length_17185_cov_12.955856_3	K13795
NODE_15_length_153375_cov_15.028157_62	K13789
NODE_3_length_306466_cov_15.086084_240	K13779
NODE_38_length_70687_cov_15.037500_28	K13703
NODE_65_length_9186_cov_18.182802_5	K13670
NODE_5_length_270224_cov_14.756047_50	K13668
NODE_42_length_64206_cov_14.657704_4	K13668
NODE_8_length_217158_cov_14.654045_153	K13654
NODE_5_length_270224_cov_14.756047_243	K13652
NODE_25_length_107545_cov_15.299885_64	K13643
NODE_16_length_147595_cov_15.526419_50	K13638
NODE_7_length_227087_cov_15.662125_203	K13634
NODE_6_length_241499_cov_14.686123_66	K13633
NODE_15_length_153375_cov_15.028157_91	K13628
NODE_117_length_553_cov_0.760563_1	K13623
NODE_33_length_85796_cov_14.378690_45	K13609
NODE_3_length_306466_cov_15.086084_247	K13599
NODE_3_length_306466_cov_15.086084_246	K13598
NODE_3_length_306466_cov_15.086084_14	K13587
NODE_11_length_174094_cov_16.181546_71	K13584
NODE_5_length_270224_cov_14.756047_60	K13583
NODE_29_length_93441_cov_15.090619_6	K13581
NODE_4_length_279979_cov_15.072070_61	K13574
NODE_27_length_95996_cov_14.791851_74	K13529
NODE_59_length_17185_cov_12.955856_17	K13525
NODE_39_length_69086_cov_14.674966_48	K13490
NODE_55_length_25122_cov_14.783437_20	K13487
NODE_7_length_227087_cov_15.662125_184	K13483
NODE_30_length_92583_cov_14.901034_58	K13483
NODE_47_length_36994_cov_14.926221_3	K13482
NODE_47_length_36994_cov_14.926221_2	K13481
NODE_31_length_89275_cov_14.498901_48	K13444
NODE_4_length_279979_cov_15.072070_143	K13368
NODE_7_length_227087_cov_15.662125_101	K13292
NODE_3_length_306466_cov_15.086084_57	K13071
NODE_10_length_177970_cov_16.619580_46	K13071
NODE_13_length_162950_cov_15.688465_36	K13038
NODE_267_length_428_cov_0.714286_1	K13035
NODE_20_length_134083_cov_15.432179_17	K13017
NODE_18_length_142879_cov_15.039453_134	K13015
NODE_13_length_162950_cov_15.688465_7	K12990
NODE_42_length_64206_cov_14.657704_19	K12984
NODE_17_length_147460_cov_14.527709_11	K12972
NODE_25_length_107545_cov_15.299885_72	K12972
NODE_2_length_310327_cov_15.040480_94	K12960
NODE_3_length_306466_cov_15.086084_59	K12960
NODE_7_length_227087_cov_15.662125_196	K12960
NODE_13_length_162950_cov_15.688465_27	K12960
NODE_43_length_60437_cov_14.044056_3	K12960
NODE_46_length_42923_cov_14.445883_24	K12960
NODE_3_length_306466_cov_15.086084_206	K12941
NODE_17_length_147460_cov_14.527709_81	K12574
NODE_18_length_142879_cov_15.039453_65	K12573
NODE_32_length_86311_cov_14.776014_55	K12537
NODE_32_length_86311_cov_14.776014_56	K12536
NODE_35_length_75451_cov_17.892929_41	K12527
NODE_333_length_407_cov_1.932143_1	K12524
NODE_1_length_319143_cov_14.787312_219	K12511
NODE_1_length_319143_cov_14.787312_218	K12510
NODE_30_length_92583_cov_14.901034_60	K12507
NODE_53_length_27089_cov_11.069839_3	K12444
NODE_53_length_27089_cov_11.069839_2	K12436
NODE_4_length_279979_cov_15.072070_210	K12410
NODE_11_length_174094_cov_16.181546_145	K12372
NODE_1_length_319143_cov_14.787312_190	K12369
NODE_31_length_89275_cov_14.498901_45	K12369
NODE_55_length_25122_cov_14.783437_2	K12369
NODE_2_length_310327_cov_15.040480_204	K12368
NODE_8_length_217158_cov_14.654045_59	K12368
NODE_16_length_147595_cov_15.526419_97	K12368
NODE_25_length_107545_cov_15.299885_36	K12368
NODE_25_length_107545_cov_15.299885_37	K12368
NODE_38_length_70687_cov_15.037500_59	K12368
NODE_43_length_60437_cov_14.044056_4	K12368
NODE_8_length_217158_cov_14.654045_13	K12340
NODE_4_length_279979_cov_15.072070_85	K12262
NODE_6_length_241499_cov_14.686123_69	K12251
NODE_41_length_66375_cov_14.877928_4	K12242
NODE_50_length_33531_cov_13.565471_11	K12240
NODE_53_length_27089_cov_11.069839_4	K12240
NODE_431_length_381_cov_0.976378_1	K12152
NODE_34_length_81483_cov_15.360059_42	K12141
NODE_34_length_81483_cov_15.360059_45	K12137
NODE_11_length_174094_cov_16.181546_1	K12132
NODE_11_length_174094_cov_16.181546_8	K12035
NODE_5_length_270224_cov_14.756047_82	K11991
NODE_7_length_227087_cov_15.662125_167	K11963
NODE_7_length_227087_cov_15.662125_166	K11962
NODE_7_length_227087_cov_15.662125_165	K11961
NODE_7_length_227087_cov_15.662125_164	K11960
NODE_7_length_227087_cov_15.662125_163	K11959
NODE_3_length_306466_cov_15.086084_225	K11958
NODE_3_length_306466_cov_15.086084_226	K11954
NODE_6_length_241499_cov_14.686123_98	K11953
NODE_26_length_99679_cov_14.870952_38	K11927
NODE_30_length_92583_cov_14.901034_50	K11922
NODE_44_length_55864_cov_14.241348_20	K11913
NODE_19_length_138999_cov_14.097017_109	K11912
NODE_44_length_55864_cov_14.241348_13	K11907
NODE_44_length_55864_cov_14.241348_17	K11904
NODE_44_length_55864_cov_14.241348_14	K11903
NODE_44_length_55864_cov_14.241348_12	K11902
NODE_44_length_55864_cov_14.241348_11	K11901
NODE_44_length_55864_cov_14.241348_10	K11900
NODE_44_length_55864_cov_14.241348_8	K11898
NODE_44_length_55864_cov_14.241348_6	K11896
NODE_44_length_55864_cov_14.241348_5	K11895
NODE_44_length_55864_cov_14.241348_21	K11893
NODE_44_length_55864_cov_14.241348_22	K11892
NODE_44_length_55864_cov_14.241348_23	K11891
NODE_44_length_55864_cov_14.241348_24	K11890
NODE_29_length_93441_cov_15.090619_19	K11810
NODE_45_length_44171_cov_17.054037_35	K11755
NODE_2_length_310327_cov_15.040480_19	K11754
NODE_4_length_279979_cov_15.072070_176	K11753
NODE_1_length_319143_cov_14.787312_241	K11752
NODE_16_length_147595_cov_15.526419_90	K11750
NODE_17_length_147460_cov_14.527709_113	K11749
NODE_11_length_174094_cov_16.181546_35	K11741
NODE_42_length_64206_cov_14.657704_25	K11720
NODE_15_length_153375_cov_15.028157_94	K11717
NODE_4_length_279979_cov_15.072070_195	K11710
NODE_4_length_279979_cov_15.072070_197	K11709
NODE_4_length_279979_cov_15.072070_196	K11708
NODE_4_length_279979_cov_15.072070_194	K11707
NODE_38_length_70687_cov_15.037500_34	K11690
NODE_3_length_306466_cov_15.086084_210	K11688
NODE_8_length_217158_cov_14.654045_182	K11645
NODE_46_length_42923_cov_14.445883_4	K11618
NODE_26_length_99679_cov_14.870952_6	K11529
NODE_56_length_20199_cov_12.012106_9	K11527
NODE_10_length_177970_cov_16.619580_171	K11476
NODE_2_length_310327_cov_15.040480_138	K11475
NODE_7_length_227087_cov_15.662125_6	K11473
NODE_7_length_227087_cov_15.662125_9	K11472
NODE_14_length_154169_cov_15.539522_125	K11354
NODE_10_length_177970_cov_16.619580_85	K11312
NODE_3_length_306466_cov_15.086084_93	K11209
NODE_18_length_142879_cov_15.039453_71	K11209
NODE_29_length_93441_cov_15.090619_68	K11209
NODE_18_length_142879_cov_15.039453_27	K11206
NODE_12_length_169171_cov_14.675599_95	K11175
NODE_2_length_310327_cov_15.040480_294	K11085
NODE_11_length_174094_cov_16.181546_49	K11082
NODE_41_length_66375_cov_14.877928_20	K11076
NODE_41_length_66375_cov_14.877928_21	K11075
NODE_41_length_66375_cov_14.877928_22	K11074
NODE_41_length_66375_cov_14.877928_19	K11073
NODE_9_length_184078_cov_14.554794_137	K11072
NODE_17_length_147460_cov_14.527709_13	K11072
NODE_5_length_270224_cov_14.756047_26	K11071
NODE_9_length_184078_cov_14.554794_139	K11071
NODE_5_length_270224_cov_14.756047_24	K11069
NODE_9_length_184078_cov_14.554794_5	K11066
NODE_238_length_439_cov_0.794872_1	K11065
NODE_20_length_134083_cov_15.432179_66	K11004
NODE_20_length_134083_cov_15.432179_67	K11003
NODE_1_length_319143_cov_14.787312_54	K10973
NODE_13_length_162950_cov_15.688465_101	K10960
NODE_29_length_93441_cov_15.090619_27	K10943
NODE_6_length_241499_cov_14.686123_211	K10914
NODE_10_length_177970_cov_16.619580_105	K10908
NODE_16_length_147595_cov_15.526419_22	K10855
NODE_3_length_306466_cov_15.086084_162	K10854
NODE_33_length_85796_cov_14.378690_20	K10854
NODE_50_length_33531_cov_13.565471_5	K10831
NODE_16_length_147595_cov_15.526419_101	K10823
NODE_6_length_241499_cov_14.686123_114	K10816
NODE_47_length_36994_cov_14.926221_34	K10816
NODE_7_length_227087_cov_15.662125_126	K10815
NODE_9_length_184078_cov_14.554794_116	K10806
NODE_5_length_270224_cov_14.756047_169	K10804
NODE_7_length_227087_cov_15.662125_1	K10778
NODE_22_length_120613_cov_15.351228_30	K10773
NODE_5_length_270224_cov_14.756047_21	K10764
NODE_4_length_279979_cov_15.072070_108	K10716
NODE_6_length_241499_cov_14.686123_35	K10711
NODE_4_length_279979_cov_15.072070_144	K10709
NODE_35_length_75451_cov_17.892929_33	K10680
NODE_18_length_142879_cov_15.039453_107	K10619
NODE_13_length_162950_cov_15.688465_33	K10563
