TRINITY_DN5444_c0_g2_i1.p1	K00006
TRINITY_DN1188_c1_g6_i1.p15	K00227
TRINITY_DN1784_c0_g1_i4.p5	K00228
TRINITY_DN1784_c0_g1_i5.p9	K00228
TRINITY_DN762_c0_g1_i23.p1	K00228
TRINITY_DN762_c0_g1_i32.p7	K00228
TRINITY_DN762_c0_g1_i32.p1	K00228
TRINITY_DN762_c0_g1_i41.p1	K00228
TRINITY_DN1456_c0_g1_i5.p8	K00232
TRINITY_DN1861_c0_g1_i11.p3	K00232
TRINITY_DN2613_c1_g1_i1.p5	K00232
TRINITY_DN2613_c1_g1_i2.p4	K00232
TRINITY_DN768_c0_g4_i1.p2	K00232
TRINITY_DN2599_c0_g3_i1.p1	K00234
TRINITY_DN365_c12_g2_i1.p1	K00234
TRINITY_DN365_c12_g2_i1.p3	K00235
TRINITY_DN211_c0_g4_i1.p1	K00249
TRINITY_DN211_c0_g4_i2.p1	K00249
TRINITY_DN56073_c0_g1_i5.p1	K00253
TRINITY_DN71_c0_g3_i1.p11	K00254
TRINITY_DN31444_c1_g1_i1.p3	K00261
TRINITY_DN36_c5_g2_i1.p7	K00261
TRINITY_DN45181_c0_g2_i1.p1	K00261
TRINITY_DN3692_c0_g1_i1.p2	K00264
TRINITY_DN3692_c0_g2_i2.p2	K00264
TRINITY_DN89_c1_g7_i1.p1	K00276
TRINITY_DN30047_c0_g3_i2.p1	K00278
TRINITY_DN5471_c0_g1_i1.p1	K00278
TRINITY_DN316_c2_g2_i1.p2	K00281
TRINITY_DN316_c2_g4_i1.p1	K00281
TRINITY_DN1859_c0_g1_i2.p1	K00284
TRINITY_DN2862_c0_g3_i1.p1	K00284
TRINITY_DN581_c3_g1_i71.p1	K00284
TRINITY_DN20_c1_g1_i14.p2	K00311
TRINITY_DN10401_c1_g4_i1.p3	K00323
TRINITY_DN32_c1_g1_i1.p3	K00323
TRINITY_DN365_c4_g3_i1.p2	K00323
TRINITY_DN3170_c0_g1_i1.p6	K00344
TRINITY_DN613_c1_g1_i1.p14	K00344
TRINITY_DN740_c1_g3_i1.p2	K00382
TRINITY_DN29774_c0_g2_i1.p1	K00383
TRINITY_DN29774_c0_g2_i2.p1	K00383
TRINITY_DN29774_c0_g2_i3.p1	K00383
TRINITY_DN3827_c0_g2_i1.p11	K00383
TRINITY_DN3827_c0_g4_i1.p3	K00383
TRINITY_DN2707_c0_g1_i11.p2	K00384
TRINITY_DN2707_c0_g1_i13.p3	K00384
TRINITY_DN288_c16_g9_i1.p3	K00384
TRINITY_DN304_c15_g1_i1.p8	K00384
TRINITY_DN1141_c3_g1_i11.p22	K00387
TRINITY_DN1141_c3_g1_i5.p23	K00387
TRINITY_DN1141_c3_g1_i9.p22	K00387
TRINITY_DN1515_c1_g1_i2.p9	K00392
TRINITY_DN1784_c0_g1_i4.p10	K00411
TRINITY_DN1784_c0_g1_i5.p14	K00411
TRINITY_DN210_c2_g2_i1.p1	K00412
TRINITY_DN120_c2_g2_i2.p1	K00413
TRINITY_DN120_c2_g2_i8.p1	K00413
TRINITY_DN1917_c0_g1_i13.p7	K00428
TRINITY_DN6123_c0_g1_i6.p1	K00451
TRINITY_DN8_c0_g3_i1.p2	K00451
TRINITY_DN229_c10_g9_i1.p5	K00472
TRINITY_DN1628_c0_g2_i3.p32	K00507
TRINITY_DN637_c0_g3_i1.p2	K00548
TRINITY_DN7626_c0_g1_i3.p2	K00548
TRINITY_DN333_c49_g3_i1.p1	K00549
TRINITY_DN86_c0_g5_i1.p4	K00549
TRINITY_DN86_c0_g5_i2.p4	K00549
TRINITY_DN5185_c0_g1_i1.p2	K00574
TRINITY_DN896_c0_g1_i3.p17	K00574
TRINITY_DN896_c0_g1_i5.p20	K00574
TRINITY_DN370_c0_g1_i1.p7	K00586
TRINITY_DN370_c0_g1_i2.p2	K00586
TRINITY_DN370_c0_g1_i3.p7	K00586
TRINITY_DN370_c0_g1_i4.p4	K00586
TRINITY_DN212_c1_g3_i4.p2	K00600
TRINITY_DN7489_c0_g1_i4.p2	K00600
TRINITY_DN2305_c0_g1_i10.p14	K00602
TRINITY_DN2305_c0_g1_i2.p18	K00602
TRINITY_DN3277_c0_g3_i2.p1	K00602
TRINITY_DN316_c2_g2_i1.p8	K00605
TRINITY_DN561_c14_g1_i1.p4	K00605
TRINITY_DN4688_c0_g1_i1.p1	K00606
TRINITY_DN1346_c0_g1_i1.p10	K00611
TRINITY_DN3758_c0_g6_i1.p1	K00611
TRINITY_DN2048_c1_g1_i12.p1	K00615
TRINITY_DN2048_c1_g1_i18.p2	K00615
TRINITY_DN1569_c0_g2_i5.p2	K00620
TRINITY_DN3692_c0_g1_i1.p18	K00620
TRINITY_DN3692_c0_g1_i3.p13	K00620
TRINITY_DN3692_c0_g2_i2.p18	K00620
TRINITY_DN868_c0_g1_i11.p9	K00620
TRINITY_DN868_c0_g1_i13.p10	K00620
TRINITY_DN868_c0_g1_i17.p9	K00620
TRINITY_DN868_c0_g1_i9.p10	K00620
TRINITY_DN1529_c1_g1_i2.p6	K00626
TRINITY_DN1529_c1_g1_i4.p3	K00626
TRINITY_DN1529_c1_g1_i7.p4	K00626
TRINITY_DN1529_c1_g1_i8.p6	K00626
TRINITY_DN3052_c0_g2_i1.p3	K00626
TRINITY_DN102_c7_g4_i1.p4	K00627
TRINITY_DN187_c1_g2_i1.p8	K00640
TRINITY_DN3902_c0_g1_i2.p2	K00640
TRINITY_DN977_c0_g1_i1.p24	K00648
TRINITY_DN977_c0_g1_i6.p24	K00648
TRINITY_DN977_c0_g1_i8.p24	K00648
TRINITY_DN977_c0_g1_i9.p24	K00648
TRINITY_DN89_c9_g2_i1.p13	K00652
TRINITY_DN46_c39_g1_i1.p2	K00654
TRINITY_DN245_c5_g1_i1.p4	K00658
TRINITY_DN2492_c0_g3_i1.p3	K00658
TRINITY_DN489_c3_g10_i1.p2	K00688
TRINITY_DN489_c3_g10_i2.p1	K00688
TRINITY_DN603_c6_g1_i3.p1	K00688
TRINITY_DN565_c2_g1_i39.p12	K00695
TRINITY_DN396_c0_g3_i2.p8	K00696
TRINITY_DN1351_c0_g1_i27.p2	K00700
TRINITY_DN984_c5_g1_i10.p1	K00700
TRINITY_DN327_c5_g1_i5.p1	K00703
TRINITY_DN440_c35_g1_i1.p12	K00703
TRINITY_DN905_c2_g1_i5.p12	K00703
TRINITY_DN489_c3_g8_i1.p2	K00705
TRINITY_DN509_c7_g3_i1.p6	K00761
TRINITY_DN110_c2_g2_i1.p7	K00766
TRINITY_DN11308_c0_g1_i1.p1	K00766
TRINITY_DN1688_c0_g2_i1.p6	K00777
TRINITY_DN1688_c0_g8_i3.p6	K00777
TRINITY_DN1724_c0_g1_i1.p8	K00777
TRINITY_DN1724_c0_g1_i4.p8	K00777
TRINITY_DN2507_c1_g1_i1.p3	K00777
TRINITY_DN1755_c0_g1_i1.p1	K00789
TRINITY_DN2662_c0_g1_i1.p4	K00794
TRINITY_DN3263_c0_g1_i3.p6	K00797
TRINITY_DN11678_c0_g1_i1.p1	K00800
TRINITY_DN207_c0_g1_i10.p2	K00800
TRINITY_DN130_c1_g2_i1.p7	K00811
TRINITY_DN130_c1_g2_i2.p7	K00811
TRINITY_DN1346_c0_g1_i1.p14	K00818
TRINITY_DN501_c0_g1_i1.p1	K00819
TRINITY_DN2166_c3_g1_i1.p7	K00820
TRINITY_DN2166_c3_g1_i2.p5	K00820
TRINITY_DN2166_c3_g1_i7.p4	K00820
TRINITY_DN2166_c3_g1_i8.p6	K00820
TRINITY_DN641_c0_g4_i1.p2	K00820
TRINITY_DN250_c1_g2_i2.p6	K00826
TRINITY_DN250_c1_g2_i7.p7	K00826
TRINITY_DN89_c1_g7_i1.p6	K00826
TRINITY_DN101_c5_g1_i1.p3	K00830
TRINITY_DN440_c9_g2_i1.p3	K00830
TRINITY_DN1024_c0_g1_i5.p14	K00831
TRINITY_DN207_c0_g1_i10.p16	K00831
TRINITY_DN2906_c0_g1_i4.p6	K00855
TRINITY_DN1845_c0_g1_i21.p1	K00856
TRINITY_DN8607_c0_g1_i1.p2	K00860
TRINITY_DN1808_c3_g1_i1.p4	K00864
TRINITY_DN2840_c0_g1_i1.p1	K00864
TRINITY_DN1287_c0_g1_i1.p8	K00873
TRINITY_DN1287_c0_g1_i4.p3	K00873
TRINITY_DN1853_c0_g2_i12.p48	K00873
TRINITY_DN1853_c0_g2_i5.p47	K00873
TRINITY_DN1853_c0_g2_i6.p48	K00873
TRINITY_DN19867_c0_g1_i1.p2	K00873
TRINITY_DN305_c4_g2_i1.p4	K00873
TRINITY_DN643_c0_g1_i2.p1	K00873
TRINITY_DN532_c1_g1_i30.p1	K00876
TRINITY_DN52_c19_g1_i1.p1	K00899
TRINITY_DN1715_c2_g1_i1.p1	K00914
TRINITY_DN1747_c1_g2_i1.p12	K00927
TRINITY_DN19_c1_g1_i3.p16	K00930
TRINITY_DN2448_c0_g2_i1.p2	K00930
TRINITY_DN509_c6_g1_i1.p2	K00931
TRINITY_DN8_c0_g4_i1.p34	K00939
TRINITY_DN51_c8_g1_i1.p4	K00940
TRINITY_DN54_c24_g1_i1.p6	K00943
TRINITY_DN704_c0_g1_i3.p44	K00948
TRINITY_DN704_c0_g1_i5.p41	K00948
TRINITY_DN704_c0_g1_i9.p44	K00948
TRINITY_DN3435_c0_g1_i7.p1	K00951
TRINITY_DN3043_c0_g1_i19.p1	K00958
TRINITY_DN3043_c0_g1_i7.p3	K00958
TRINITY_DN3070_c0_g4_i1.p1	K00962
TRINITY_DN6018_c0_g1_i1.p1	K00962
TRINITY_DN6018_c0_g1_i6.p1	K00962
TRINITY_DN7_c0_g3_i1.p2	K00962
TRINITY_DN489_c14_g1_i1.p2	K00975
TRINITY_DN489_c3_g3_i1.p2	K00975
TRINITY_DN8445_c0_g1_i26.p5	K00975
TRINITY_DN9063_c0_g1_i1.p1	K01006
TRINITY_DN50_c29_g2_i1.p2	K01011
TRINITY_DN14_c1_g2_i1.p17	K01012
TRINITY_DN21412_c1_g2_i1.p2	K01012
TRINITY_DN2299_c1_g1_i4.p1	K01012
TRINITY_DN3762_c0_g1_i1.p3	K01012
TRINITY_DN654_c3_g1_i4.p2	K01069
TRINITY_DN654_c3_g1_i5.p2	K01069
TRINITY_DN9069_c0_g2_i2.p1	K01069
TRINITY_DN195_c0_g1_i1.p26	K01070
TRINITY_DN195_c0_g1_i3.p29	K01070
TRINITY_DN61437_c0_g1_i2.p3	K01092
TRINITY_DN2869_c0_g1_i1.p1	K01142
TRINITY_DN728_c6_g1_i1.p17	K01176
TRINITY_DN702_c2_g1_i10.p5	K01177
TRINITY_DN702_c2_g1_i11.p1	K01177
TRINITY_DN15_c11_g1_i11.p22	K01214
TRINITY_DN489_c14_g2_i1.p2	K01214
TRINITY_DN17_c0_g1_i1.p2	K01251
TRINITY_DN9682_c0_g1_i25.p2	K01251
TRINITY_DN8510_c0_g2_i1.p1	K01255
TRINITY_DN551_c0_g2_i3.p2	K01256
TRINITY_DN6106_c0_g2_i1.p1	K01256
TRINITY_DN14_c0_g1_i1.p5	K01262
TRINITY_DN285_c0_g1_i5.p1	K01262
TRINITY_DN629_c1_g1_i1.p8	K01262
TRINITY_DN15083_c0_g1_i1.p2	K01265
TRINITY_DN15083_c0_g1_i2.p2	K01265
TRINITY_DN1935_c2_g2_i1.p16	K01265
TRINITY_DN2349_c1_g1_i1.p20	K01265
TRINITY_DN2349_c1_g1_i13.p18	K01265
TRINITY_DN2349_c1_g1_i4.p6	K01265
TRINITY_DN2349_c1_g1_i7.p19	K01265
TRINITY_DN4279_c0_g1_i1.p12	K01265
TRINITY_DN4279_c0_g1_i2.p12	K01265
TRINITY_DN530_c2_g4_i1.p4	K01265
TRINITY_DN15801_c1_g1_i1.p1	K01354
TRINITY_DN15801_c1_g1_i2.p2	K01354
TRINITY_DN1198_c1_g1_i2.p13	K01358
TRINITY_DN1198_c1_g1_i3.p13	K01358
TRINITY_DN20280_c0_g1_i1.p2	K01358
TRINITY_DN20280_c0_g4_i1.p2	K01358
TRINITY_DN20280_c0_g4_i2.p2	K01358
TRINITY_DN2636_c0_g3_i2.p4	K01358
TRINITY_DN437_c11_g1_i2.p4	K01358
TRINITY_DN752_c3_g1_i7.p1	K01358
TRINITY_DN752_c3_g1_i9.p2	K01358
TRINITY_DN1927_c4_g1_i4.p1	K01365
TRINITY_DN13_c0_g7_i1.p1	K01409
TRINITY_DN583_c16_g1_i1.p2	K01409
TRINITY_DN12058_c0_g1_i1.p4	K01414
TRINITY_DN71_c0_g5_i1.p4	K01414
TRINITY_DN1127_c1_g1_i10.p32	K01419
TRINITY_DN16374_c0_g1_i1.p1	K01419
TRINITY_DN4432_c2_g1_i1.p11	K01419
TRINITY_DN4432_c2_g1_i12.p22	K01419
TRINITY_DN4432_c2_g1_i14.p10	K01419
TRINITY_DN83000_c0_g1_i1.p2	K01419
TRINITY_DN142_c0_g3_i6.p22	K01426
TRINITY_DN30_c6_g4_i1.p7	K01426
TRINITY_DN556_c4_g1_i1.p6	K01426
TRINITY_DN288_c0_g4_i1.p2	K01427
TRINITY_DN637_c0_g3_i1.p4	K01455
TRINITY_DN513_c1_g1_i1.p3	K01464
TRINITY_DN20248_c0_g2_i1.p1	K01465
TRINITY_DN20248_c0_g2_i2.p1	K01465
TRINITY_DN1101_c2_g2_i1.p2	K01469
TRINITY_DN22_c71_g1_i1.p1	K01469
TRINITY_DN2633_c0_g1_i1.p2	K01469
TRINITY_DN46_c43_g2_i1.p1	K01469
TRINITY_DN1578_c0_g1_i2.p1	K01507
TRINITY_DN237_c17_g1_i2.p1	K01527
TRINITY_DN122_c5_g1_i4.p1	K01534
TRINITY_DN32_c1_g1_i17.p3	K01534
TRINITY_DN32_c1_g1_i19.p3	K01534
TRINITY_DN370_c2_g1_i7.p1	K01535
TRINITY_DN370_c6_g1_i14.p1	K01535
TRINITY_DN370_c6_g1_i7.p1	K01535
TRINITY_DN617_c0_g1_i6.p2	K01535
TRINITY_DN1557_c0_g2_i2.p7	K01537
TRINITY_DN1557_c0_g3_i3.p1	K01537
TRINITY_DN534_c1_g1_i3.p1	K01537
TRINITY_DN4242_c0_g2_i1.p1	K01539
TRINITY_DN784_c13_g1_i1.p1	K01551
TRINITY_DN784_c13_g1_i2.p1	K01551
TRINITY_DN3642_c0_g1_i1.p2	K01555
TRINITY_DN3642_c0_g1_i5.p2	K01555
TRINITY_DN2458_c0_g1_i3.p14	K01586
TRINITY_DN3941_c0_g3_i1.p1	K01586
TRINITY_DN80_c1_g2_i1.p3	K01586
TRINITY_DN1238_c3_g1_i1.p3	K01593
TRINITY_DN2400_c0_g1_i1.p2	K01595
TRINITY_DN2345_c0_g1_i1.p7	K01599
TRINITY_DN2345_c0_g1_i5.p6	K01599
TRINITY_DN47_c2_g6_i1.p2	K01601
TRINITY_DN1294_c0_g1_i25.p6	K01602
TRINITY_DN2188_c0_g1_i2.p1	K01610
TRINITY_DN257_c1_g2_i1.p2	K01610
TRINITY_DN2390_c1_g1_i26.p5	K01611
TRINITY_DN2390_c1_g1_i37.p5	K01611
TRINITY_DN2390_c1_g1_i7.p6	K01611
TRINITY_DN2390_c1_g1_i9.p7	K01611
TRINITY_DN102_c3_g14_i1.p2	K01620
TRINITY_DN1624_c0_g1_i17.p1	K01623
TRINITY_DN3827_c0_g2_i1.p10	K01626
TRINITY_DN3827_c0_g4_i1.p2	K01626
TRINITY_DN31065_c0_g1_i1.p1	K01627
TRINITY_DN12_c0_g1_i1.p12	K01640
TRINITY_DN217_c3_g1_i1.p2	K01641
TRINITY_DN1375_c9_g1_i6.p12	K01647
TRINITY_DN1498_c4_g1_i12.p1	K01647
TRINITY_DN167_c1_g1_i3.p8	K01648
TRINITY_DN167_c1_g1_i83.p8	K01648
TRINITY_DN167_c1_g1_i99.p7	K01648
TRINITY_DN315_c0_g2_i1.p12	K01649
TRINITY_DN2327_c0_g3_i1.p1	K01652
TRINITY_DN315_c0_g2_i1.p5	K01652
TRINITY_DN86_c1_g2_i1.p3	K01652
TRINITY_DN220_c5_g1_i3.p1	K01653
TRINITY_DN1026_c0_g3_i1.p2	K01657
TRINITY_DN1_c45_g2_i1.p1	K01657
TRINITY_DN55289_c0_g1_i1.p2	K01658
TRINITY_DN25477_c0_g4_i1.p2	K01661
TRINITY_DN531_c0_g5_i1.p2	K01662
TRINITY_DN3692_c0_g1_i1.p41	K01663
TRINITY_DN3692_c0_g1_i3.p29	K01663
TRINITY_DN3692_c0_g2_i2.p42	K01663
TRINITY_DN1284_c0_g1_i2.p3	K01676
TRINITY_DN3248_c0_g3_i1.p1	K01679
TRINITY_DN46_c44_g1_i1.p1	K01679
TRINITY_DN311_c21_g1_i1.p1	K01681
TRINITY_DN78_c1_g1_i3.p2	K01681
TRINITY_DN295_c1_g1_i1.p8	K01687
TRINITY_DN295_c1_g1_i11.p7	K01687
TRINITY_DN1688_c0_g3_i3.p10	K01689
TRINITY_DN229_c13_g5_i1.p2	K01689
TRINITY_DN463_c0_g1_i55.p4	K01689
TRINITY_DN3692_c0_g1_i1.p60	K01693
TRINITY_DN3692_c0_g1_i3.p41	K01693
TRINITY_DN3692_c0_g2_i2.p60	K01693
TRINITY_DN194_c1_g1_i3.p10	K01695
TRINITY_DN194_c1_g1_i6.p10	K01695
TRINITY_DN1705_c1_g3_i3.p6	K01696
TRINITY_DN3809_c0_g3_i1.p1	K01696
TRINITY_DN509_c8_g1_i1.p3	K01698
TRINITY_DN2816_c0_g3_i1.p1	K01702
TRINITY_DN1606_c3_g1_i3.p10	K01703
TRINITY_DN1606_c3_g1_i8.p1	K01703
TRINITY_DN1787_c0_g1_i1.p1	K01711
TRINITY_DN1787_c0_g1_i11.p1	K01711
TRINITY_DN1787_c0_g1_i5.p1	K01711
TRINITY_DN1353_c2_g4_i2.p1	K01726
TRINITY_DN1541_c3_g1_i2.p4	K01726
TRINITY_DN29_c1_g6_i1.p7	K01726
TRINITY_DN1902_c4_g1_i1.p2	K01733
TRINITY_DN3692_c0_g1_i1.p20	K01735
TRINITY_DN3692_c0_g2_i2.p20	K01735
TRINITY_DN212_c6_g3_i1.p4	K01736
TRINITY_DN50977_c0_g2_i1.p1	K01736
TRINITY_DN58_c0_g2_i7.p3	K01738
TRINITY_DN1311_c0_g1_i23.p4	K01749
TRINITY_DN13_c0_g3_i1.p2	K01749
TRINITY_DN46_c12_g1_i1.p1	K01754
TRINITY_DN7626_c0_g2_i2.p5	K01754
TRINITY_DN7626_c0_g2_i4.p3	K01754
TRINITY_DN17_c11_g1_i1.p5	K01755
TRINITY_DN324_c0_g1_i1.p48	K01759
TRINITY_DN14456_c0_g1_i2.p1	K01760
TRINITY_DN6466_c0_g2_i1.p1	K01760
TRINITY_DN15275_c0_g1_i1.p2	K01770
TRINITY_DN577_c8_g1_i1.p5	K01772
TRINITY_DN4432_c2_g1_i12.p11	K01778
TRINITY_DN4432_c2_g1_i3.p4	K01778
TRINITY_DN4432_c2_g1_i5.p2	K01778
TRINITY_DN206_c5_g1_i6.p3	K01784
TRINITY_DN206_c5_g1_i8.p8	K01784
TRINITY_DN270_c1_g1_i14.p14	K01802
TRINITY_DN1688_c0_g3_i1.p3	K01803
TRINITY_DN1688_c0_g3_i3.p4	K01803
TRINITY_DN1688_c0_g7_i2.p3	K01803
TRINITY_DN180_c0_g1_i4.p5	K01803
TRINITY_DN536_c3_g1_i1.p10	K01803
TRINITY_DN435_c1_g2_i1.p1	K01835
TRINITY_DN489_c3_g9_i1.p1	K01835
TRINITY_DN3461_c0_g2_i1.p1	K01845
TRINITY_DN2592_c0_g2_i2.p2	K01847
TRINITY_DN674_c0_g1_i6.p8	K01853
TRINITY_DN674_c0_g1_i9.p7	K01853
TRINITY_DN1346_c0_g1_i1.p16	K01854
TRINITY_DN508_c6_g1_i1.p9	K01858
TRINITY_DN508_c6_g1_i11.p14	K01858
TRINITY_DN508_c6_g1_i20.p9	K01858
TRINITY_DN508_c6_g1_i26.p7	K01858
TRINITY_DN508_c6_g1_i5.p8	K01858
TRINITY_DN508_c6_g1_i7.p9	K01858
TRINITY_DN508_c6_g1_i9.p8	K01858
TRINITY_DN3192_c0_g1_i1.p1	K01866
TRINITY_DN613_c1_g1_i1.p11	K01867
TRINITY_DN311_c14_g2_i1.p1	K01868
TRINITY_DN3378_c0_g1_i1.p1	K01868
TRINITY_DN3705_c0_g1_i10.p2	K01868
TRINITY_DN3705_c0_g1_i9.p2	K01868
TRINITY_DN17_c0_g2_i2.p1	K01869
TRINITY_DN561_c8_g5_i1.p1	K01870
TRINITY_DN372_c2_g4_i1.p2	K01872
TRINITY_DN2515_c0_g2_i1.p1	K01873
TRINITY_DN295_c1_g1_i1.p2	K01873
TRINITY_DN295_c1_g1_i11.p2	K01873
TRINITY_DN3203_c0_g1_i1.p2	K01874
TRINITY_DN3203_c0_g1_i3.p2	K01874
TRINITY_DN3203_c0_g1_i4.p3	K01874
TRINITY_DN474_c26_g1_i1.p1	K01875
TRINITY_DN5294_c0_g3_i1.p1	K01875
TRINITY_DN2048_c1_g1_i12.p6	K01881
TRINITY_DN2048_c1_g1_i16.p6	K01881
TRINITY_DN2048_c1_g1_i18.p6	K01881
TRINITY_DN2048_c1_g1_i19.p4	K01881
TRINITY_DN2048_c1_g1_i9.p6	K01881
TRINITY_DN1108_c0_g1_i31.p11	K01883
TRINITY_DN16_c8_g2_i1.p2	K01883
TRINITY_DN2592_c0_g2_i3.p16	K01883
TRINITY_DN1175_c0_g1_i3.p1	K01885
TRINITY_DN2063_c0_g5_i2.p11	K01885
TRINITY_DN826_c10_g1_i1.p1	K01885
TRINITY_DN1368_c0_g1_i1.p10	K01886
TRINITY_DN1368_c0_g1_i28.p4	K01886
TRINITY_DN2592_c0_g1_i1.p2	K01886
TRINITY_DN1902_c0_g1_i1.p3	K01889
TRINITY_DN1902_c0_g1_i2.p2	K01889
TRINITY_DN1902_c0_g2_i1.p2	K01889
TRINITY_DN435_c1_g1_i2.p2	K01895
TRINITY_DN231_c1_g1_i96.p3	K01897
TRINITY_DN35_c13_g1_i1.p1	K01897
TRINITY_DN50_c3_g1_i3.p2	K01897
TRINITY_DN1615_c0_g1_i2.p3	K01899
TRINITY_DN1615_c0_g1_i2.p2	K01900
TRINITY_DN1225_c0_g1_i4.p2	K01915
TRINITY_DN22_c32_g1_i1.p2	K01918
TRINITY_DN30702_c0_g1_i1.p1	K01918
TRINITY_DN63479_c0_g1_i2.p1	K01919
TRINITY_DN12933_c0_g2_i2.p2	K01933
TRINITY_DN4989_c0_g1_i1.p8	K01933
TRINITY_DN4989_c0_g1_i3.p8	K01933
TRINITY_DN1688_c0_g3_i1.p4	K01937
TRINITY_DN1688_c0_g3_i3.p5	K01937
TRINITY_DN1688_c0_g7_i2.p4	K01937
TRINITY_DN2902_c0_g2_i1.p2	K01938
TRINITY_DN25697_c0_g1_i1.p1	K01939
TRINITY_DN2645_c0_g1_i2.p2	K01939
TRINITY_DN579_c0_g5_i1.p4	K01939
TRINITY_DN1520_c0_g2_i1.p1	K01940
TRINITY_DN404_c0_g1_i12.p5	K01940
TRINITY_DN404_c0_g1_i21.p5	K01940
TRINITY_DN4135_c1_g1_i1.p1	K01941
TRINITY_DN2506_c0_g1_i2.p15	K01945
TRINITY_DN2506_c0_g1_i7.p14	K01945
TRINITY_DN8304_c0_g3_i2.p2	K01945
