NODE_69_length_16902_cov_2.242504_11	K27883
NODE_301_length_7490_cov_3.056906_7	K19125
NODE_301_length_7490_cov_3.056906_6	K19124
NODE_301_length_7490_cov_3.056906_4	K19123
NODE_423_length_5521_cov_2.645347_3	K19083
NODE_687_length_3010_cov_3.465834_3	K18991
NODE_523_length_4615_cov_2.456105_3	K18979
NODE_339_length_6815_cov_2.990879_4	K18978
NODE_486_length_4978_cov_2.790971_4	K18968
NODE_387_length_5998_cov_2.704820_4	K18967
NODE_753_length_2465_cov_2.284859_2	K18954
NODE_72_length_16453_cov_2.890359_16	K18936
NODE_16_length_28390_cov_3.223508_17	K18914
NODE_111_length_13394_cov_2.417050_7	K18912
NODE_385_length_6044_cov_3.330573_1	K18911
NODE_82_length_15581_cov_2.626246_13	K18904
NODE_94_length_14562_cov_4.497541_6	K18900
NODE_842_length_1952_cov_1.870685_1	K18900
NODE_626_length_3630_cov_2.767913_3	K18850
NODE_101_length_14049_cov_2.313245_8	K18828
NODE_237_length_8893_cov_3.398585_5	K18828
NODE_28_length_23039_cov_3.085457_13	K18778
NODE_239_length_8829_cov_3.140657_5	K18703
NODE_25_length_23259_cov_3.075350_6	K18702
NODE_9_length_32827_cov_2.680214_19	K18661
NODE_104_length_13906_cov_2.491835_6	K18622
NODE_25_length_23259_cov_3.075350_12	K18613
NODE_179_length_10367_cov_3.006152_7	K18588
NODE_864_length_1817_cov_2.527811_1	K18456
NODE_927_length_1405_cov_4.635368_1	K18335
NODE_225_length_9178_cov_2.574522_7	K18324
NODE_46_length_19066_cov_3.107925_19	K18313
NODE_597_length_3815_cov_3.884490_4	K18304
NODE_1_length_61034_cov_3.829790_2	K18303
NODE_1_length_61034_cov_3.829790_3	K18302
NODE_273_length_7988_cov_2.579443_2	K18299
NODE_273_length_7988_cov_2.579443_1	K18298
NODE_332_length_6883_cov_2.691089_2	K18295
NODE_332_length_6883_cov_2.691089_3	K18294
NODE_936_length_1354_cov_1.770986_2	K18292
NODE_616_length_3714_cov_2.372177_2	K18291
NODE_947_length_1276_cov_1.644038_2	K18289
NODE_25_length_23259_cov_3.075350_1	K18258
NODE_65_length_17365_cov_2.897842_13	K18258
NODE_21_length_24594_cov_2.900805_4	K18208
NODE_9_length_32827_cov_2.680214_14	K18204
NODE_110_length_13445_cov_3.248536_2	K18139
NODE_200_length_9849_cov_3.329356_4	K18139
NODE_286_length_7733_cov_2.282672_2	K18139
NODE_408_length_5722_cov_2.181055_2	K18139
NODE_476_length_5048_cov_2.758382_1	K18139
NODE_678_length_3055_cov_2.290984_1	K18139
NODE_12_length_30837_cov_2.816607_21	K18138
NODE_110_length_13445_cov_3.248536_3	K18138
NODE_200_length_9849_cov_3.329356_3	K18138
NODE_109_length_13460_cov_3.247206_2	K18133
NODE_334_length_6866_cov_3.447099_3	K18133
NODE_110_length_13445_cov_3.248536_5	K18130
NODE_225_length_9178_cov_2.574522_2	K18121
NODE_203_length_9709_cov_2.614068_5	K18118
NODE_324_length_7052_cov_3.298773_1	K18030
NODE_324_length_7052_cov_3.298773_2	K18029
NODE_775_length_2327_cov_3.339545_3	K17893
NODE_185_length_10252_cov_2.702815_10	K17837
NODE_406_length_5759_cov_2.855469_4	K17725
NODE_11_length_31471_cov_2.743236_27	K17723
NODE_11_length_31471_cov_2.743236_26	K17722
NODE_36_length_20560_cov_2.999657_11	K17713
NODE_43_length_19406_cov_2.822034_5	K17686
NODE_331_length_6916_cov_2.935926_6	K17325
NODE_331_length_6916_cov_2.935926_7	K17324
NODE_331_length_6916_cov_2.935926_4	K17323
NODE_331_length_6916_cov_2.935926_5	K17322
NODE_331_length_6916_cov_2.935926_2	K17321
NODE_291_length_7636_cov_2.724464_7	K17317
NODE_291_length_7636_cov_2.724464_8	K17316
NODE_399_length_5839_cov_3.146008_2	K17315
NODE_275_length_7982_cov_2.667218_6	K17247
NODE_61_length_17615_cov_2.849668_4	K17228
NODE_23_length_23710_cov_3.460374_13	K17103
NODE_435_length_5411_cov_2.368092_4	K17061
NODE_435_length_5411_cov_2.368092_3	K17060
NODE_299_length_7526_cov_2.608461_4	K16904
NODE_608_length_3756_cov_1.834390_4	K16871
NODE_100_length_14183_cov_2.319081_5	K16870
NODE_810_length_2181_cov_1.995618_1	K16842
NODE_569_length_4124_cov_3.003002_4	K16556
NODE_303_length_7415_cov_2.730241_5	K16554
NODE_214_length_9386_cov_2.485690_2	K16238
NODE_45_length_19068_cov_2.695687_11	K16216
NODE_223_length_9197_cov_2.539030_3	K16203
NODE_979_length_1100_cov_2.833505_1	K16171
NODE_17_length_26507_cov_2.598218_22	K16165
NODE_581_length_4000_cov_2.510199_5	K16165
NODE_61_length_17615_cov_2.849668_11	K16137
NODE_121_length_12695_cov_2.950589_13	K16137
NODE_542_length_4358_cov_1.783266_5	K16137
NODE_51_length_18705_cov_2.754818_12	K16135
NODE_153_length_11200_cov_2.925404_6	K16135
NODE_10_length_32230_cov_2.381429_4	K16092
NODE_345_length_6621_cov_2.397136_2	K16090
NODE_35_length_20567_cov_3.762720_2	K16088
NODE_125_length_12518_cov_3.093455_3	K16088
NODE_230_length_9141_cov_2.794098_3	K16088
NODE_257_length_8407_cov_2.945531_4	K16087
NODE_723_length_2703_cov_2.202252_1	K16074
NODE_120_length_12772_cov_2.406959_2	K16048
NODE_254_length_8463_cov_2.631958_3	K16011
NODE_433_length_5459_cov_2.062078_2	K15987
NODE_676_length_3073_cov_2.415818_2	K15977
NODE_332_length_6883_cov_2.691089_7	K15919
NODE_24_length_23637_cov_2.816121_7	K15866
NODE_590_length_3885_cov_1.886110_3	K15866
NODE_662_length_3184_cov_2.162905_2	K15866
NODE_809_length_2182_cov_2.295864_2	K15790
NODE_12_length_30837_cov_2.816607_27	K15778
NODE_65_length_17365_cov_2.897842_1	K15777
NODE_359_length_6437_cov_2.982092_3	K15777
NODE_500_length_4886_cov_3.424039_4	K15777
NODE_310_length_7260_cov_2.990607_6	K15738
NODE_534_length_4498_cov_2.928849_3	K15735
NODE_47_length_19050_cov_3.084236_5	K15727
NODE_47_length_19050_cov_3.084236_6	K15726
NODE_675_length_3091_cov_2.025304_2	K15726
NODE_47_length_19050_cov_3.084236_4	K15725
NODE_33_length_21344_cov_2.606636_16	K15724
NODE_311_length_7249_cov_2.286858_3	K15724
NODE_97_length_14270_cov_2.630984_1	K15667
NODE_125_length_12518_cov_3.093455_1	K15654
NODE_740_length_2575_cov_2.708333_2	K15634
NODE_545_length_4349_cov_2.510422_2	K15585
NODE_62_length_17593_cov_3.060002_2	K15583
NODE_114_length_13163_cov_3.043188_11	K15583
NODE_141_length_11659_cov_2.225286_8	K15583
NODE_209_length_9523_cov_2.851533_1	K15583
NODE_653_length_3264_cov_2.408352_3	K15583
NODE_540_length_4426_cov_2.696441_3	K15580
NODE_5_length_35278_cov_3.051293_3	K15578
NODE_5_length_35278_cov_3.051293_4	K15577
NODE_6_length_35275_cov_2.706811_15	K15555
NODE_89_length_15101_cov_2.468011_16	K15555
NODE_109_length_13460_cov_3.247206_9	K15555
NODE_306_length_7364_cov_2.463452_6	K15555
NODE_894_length_1582_cov_3.426804_1	K15555
NODE_89_length_15101_cov_2.468011_15	K15554
NODE_109_length_13460_cov_3.247206_10	K15554
NODE_306_length_7364_cov_2.463452_7	K15554
NODE_6_length_35275_cov_2.706811_12	K15553
NODE_46_length_19066_cov_3.107925_11	K15553
NODE_143_length_11617_cov_2.207485_9	K15553
NODE_250_length_8535_cov_2.624405_3	K15553
NODE_263_length_8320_cov_2.565117_2	K15553
NODE_306_length_7364_cov_2.463452_5	K15553
NODE_400_length_5828_cov_2.100859_5	K15553
NODE_451_length_5259_cov_2.043453_4	K15553
NODE_661_length_3189_cov_2.170477_3	K15553
NODE_910_length_1485_cov_1.583211_3	K15553
NODE_89_length_15101_cov_2.468011_12	K15552
NODE_89_length_15101_cov_2.468011_14	K15551
NODE_110_length_13445_cov_3.248536_7	K15540
NODE_427_length_5481_cov_2.544453_4	K15537
NODE_31_length_21909_cov_2.608805_10	K15497
NODE_80_length_15923_cov_3.108002_4	K15497
NODE_451_length_5259_cov_2.043453_1	K15461
NODE_625_length_3638_cov_1.918542_5	K15396
NODE_79_length_15933_cov_2.338226_13	K15383
NODE_301_length_7490_cov_3.056906_9	K15342
NODE_608_length_3756_cov_1.834390_2	K15270
NODE_190_length_10106_cov_2.559475_5	K15268
NODE_99_length_14208_cov_2.588453_7	K15234
NODE_439_length_5383_cov_2.655822_5	K15050
NODE_632_length_3587_cov_2.063584_4	K15034
NODE_417_length_5607_cov_3.323175_6	K15012
NODE_417_length_5607_cov_3.323175_5	K15011
NODE_54_length_18582_cov_2.807532_20	K14998
NODE_417_length_5607_cov_3.323175_4	K14998
NODE_195_length_9941_cov_2.374873_5	K14987
NODE_195_length_9941_cov_2.374873_4	K14986
NODE_79_length_15933_cov_2.338226_16	K14742
NODE_24_length_23637_cov_2.816121_17	K14726
NODE_107_length_13692_cov_2.537265_6	K14719
NODE_409_length_5718_cov_2.480773_3	K14682
NODE_35_length_20567_cov_3.762720_3	K14664
NODE_43_length_19406_cov_2.822034_7	K14660
NODE_38_length_20059_cov_3.244582_7	K14657
NODE_247_length_8589_cov_2.223824_1	K14652
NODE_157_length_11130_cov_2.533400_4	K14623
NODE_17_length_26507_cov_2.598218_6	K14540
NODE_842_length_1952_cov_1.870685_2	K14493
NODE_184_length_10269_cov_2.693946_4	K14491
NODE_398_length_5866_cov_2.795435_2	K14491
NODE_138_length_12089_cov_3.093797_4	K14441
NODE_2_length_43666_cov_2.920944_28	K14415
NODE_2_length_43666_cov_2.920944_26	K14414
NODE_140_length_11733_cov_2.397984_4	K14393
NODE_80_length_15923_cov_3.108002_7	K14347
NODE_41_length_19562_cov_2.510522_1	K14287
NODE_521_length_4632_cov_2.719423_4	K14267
NODE_813_length_2164_cov_3.540501_3	K14260
NODE_856_length_1883_cov_2.628702_4	K14260
NODE_20_length_25156_cov_2.672580_6	K14170
NODE_148_length_11342_cov_2.468123_4	K14162
NODE_148_length_11342_cov_2.468123_3	K14161
NODE_148_length_11342_cov_2.468123_2	K14160
NODE_329_length_6938_cov_2.948906_4	K14063
NODE_740_length_2575_cov_2.708333_4	K14058
NODE_18_length_26144_cov_2.567667_19	K14057
NODE_732_length_2660_cov_2.242795_2	K14057
NODE_221_length_9226_cov_2.560281_1	K14054
NODE_211_length_9438_cov_3.260982_7	K14026
NODE_843_length_1948_cov_2.529379_2	K13985
NODE_105_length_13865_cov_2.530499_9	K13954
NODE_444_length_5334_cov_2.908008_1	K13954
NODE_648_length_3288_cov_2.627966_5	K13953
NODE_12_length_30837_cov_2.816607_15	K13936
NODE_262_length_8353_cov_2.588378_2	K13936
NODE_523_length_4615_cov_2.456105_4	K13936
NODE_7_length_33469_cov_2.958641_29	K13933
NODE_7_length_33469_cov_2.958641_28	K13932
NODE_7_length_33469_cov_2.958641_27	K13931
NODE_7_length_33469_cov_2.958641_26	K13929
NODE_7_length_33469_cov_2.958641_23	K13928
NODE_77_length_15968_cov_2.327189_5	K13926
NODE_186_length_10249_cov_2.858427_8	K13896
NODE_437_length_5404_cov_2.385067_1	K13896
NODE_374_length_6187_cov_2.592904_1	K13895
NODE_374_length_6187_cov_2.592904_2	K13894
NODE_374_length_6187_cov_2.592904_3	K13893
NODE_421_length_5567_cov_2.294669_5	K13892
NODE_223_length_9197_cov_2.539030_5	K13891
NODE_223_length_9197_cov_2.539030_6	K13890
NODE_223_length_9197_cov_2.539030_7	K13889
NODE_66_length_17275_cov_2.982739_13	K13888
NODE_371_length_6236_cov_2.245867_2	K13888
NODE_16_length_28390_cov_3.223508_5	K13831
NODE_171_length_10628_cov_2.714503_6	K13831
NODE_477_length_5048_cov_2.653322_5	K13831
NODE_209_length_9523_cov_2.851533_4	K13821
NODE_31_length_21909_cov_2.608805_4	K13796
NODE_31_length_21909_cov_2.608805_5	K13795
NODE_31_length_21909_cov_2.608805_3	K13794
NODE_561_length_4181_cov_3.347311_3	K13789
NODE_201_length_9816_cov_2.482300_3	K13779
NODE_201_length_9816_cov_2.482300_4	K13778
NODE_201_length_9816_cov_2.482300_2	K13777
NODE_201_length_9816_cov_2.482300_7	K13775
NODE_244_length_8668_cov_2.617492_7	K13774
NODE_627_length_3617_cov_1.978797_4	K13774
NODE_103_length_13909_cov_3.747061_12	K13771
NODE_430_length_5470_cov_2.712521_3	K13771
NODE_669_length_3148_cov_2.503145_4	K13766
NODE_240_length_8807_cov_2.377304_4	K13655
NODE_124_length_12536_cov_3.383028_2	K13652
NODE_500_length_4886_cov_3.424039_1	K13643
NODE_553_length_4251_cov_2.445926_1	K13641
NODE_474_length_5053_cov_2.912708_3	K13637
NODE_89_length_15101_cov_2.468011_5	K13636
NODE_349_length_6585_cov_2.373026_8	K13634
NODE_612_length_3734_cov_2.340172_1	K13634
NODE_256_length_8418_cov_2.867808_3	K13628
NODE_546_length_4345_cov_2.577288_1	K13612
NODE_24_length_23637_cov_2.816121_22	K13600
NODE_137_length_12137_cov_2.846378_6	K13598
NODE_23_length_23710_cov_3.460374_19	K13589
NODE_45_length_19068_cov_2.695687_8	K13587
NODE_12_length_30837_cov_2.816607_28	K13529
NODE_223_length_9197_cov_2.539030_2	K13522
NODE_810_length_2181_cov_1.995618_2	K13485
NODE_29_length_22725_cov_2.768077_17	K13482
NODE_29_length_22725_cov_2.768077_16	K13481
NODE_390_length_5978_cov_2.678004_3	K13448
NODE_562_length_4178_cov_2.075290_3	K13355
NODE_9_length_32827_cov_2.680214_24	K13292
NODE_528_length_4539_cov_2.760879_3	K13288
NODE_9_length_32827_cov_2.680214_8	K13243
NODE_722_length_2706_cov_2.169058_1	K13237
NODE_932_length_1378_cov_1.023981_2	K13207
NODE_37_length_20438_cov_2.530205_22	K13201
NODE_2_length_43666_cov_2.920944_15	K13126
NODE_597_length_3815_cov_3.884490_3	K13060
NODE_209_length_9523_cov_2.851533_2	K13051
NODE_585_length_3966_cov_2.318833_3	K13049
NODE_215_length_9367_cov_2.920779_9	K13038
NODE_831_length_2031_cov_1.856092_2	K13017
NODE_196_length_9913_cov_3.060903_6	K13014
NODE_85_length_15491_cov_2.605637_4	K13012
NODE_100_length_14183_cov_2.319081_4	K12984
NODE_27_length_23153_cov_2.710458_18	K12976
NODE_2_length_43666_cov_2.920944_9	K12972
NODE_104_length_13906_cov_2.491835_1	K12972
NODE_140_length_11733_cov_2.397984_11	K12972
NODE_278_length_7873_cov_2.602892_2	K12972
NODE_605_length_3772_cov_3.183539_2	K12945
NODE_1036_length_766_cov_1.525822_1	K12815
NODE_74_length_16392_cov_2.274270_7	K12663
NODE_138_length_12089_cov_3.093797_3	K12573
NODE_4_length_35647_cov_3.109122_6	K12452
NODE_557_length_4215_cov_2.243640_1	K12444
NODE_97_length_14270_cov_2.630984_4	K12443
NODE_206_length_9582_cov_2.310418_2	K12436
NODE_441_length_5366_cov_2.632945_7	K12410
NODE_17_length_26507_cov_2.598218_9	K12405
NODE_114_length_13163_cov_3.043188_12	K12372
NODE_141_length_11659_cov_2.225286_6	K12369
NODE_12_length_30837_cov_2.816607_25	K12340
NODE_59_length_18175_cov_2.396110_2	K12339
NODE_87_length_15415_cov_2.190018_6	K12266
NODE_410_length_5705_cov_3.108641_2	K12262
NODE_173_length_10586_cov_2.511617_2	K12256
NODE_96_length_14445_cov_2.981701_5	K12255
NODE_173_length_10586_cov_2.511617_1	K12254
NODE_485_length_4990_cov_1.943039_6	K12251
NODE_208_length_9527_cov_2.820745_7	K12243
NODE_219_length_9304_cov_2.957502_4	K12071
NODE_6_length_35275_cov_2.706811_3	K12055
NODE_651_length_3276_cov_2.761512_4	K11991
NODE_284_length_7771_cov_2.807954_1	K11963
NODE_472_length_5069_cov_3.485229_3	K11962
NODE_472_length_5069_cov_3.485229_4	K11961
NODE_695_length_2946_cov_2.650231_3	K11961
NODE_103_length_13909_cov_3.747061_7	K11960
NODE_695_length_2946_cov_2.650231_2	K11960
NODE_952_length_1259_cov_3.784452_1	K11959
NODE_571_length_4102_cov_2.723019_3	K11957
NODE_378_length_6161_cov_3.045409_6	K11956
NODE_53_length_18591_cov_2.653163_4	K11936
NODE_106_length_13812_cov_2.916916_4	K11930
NODE_41_length_19562_cov_2.510522_11	K11927
NODE_49_length_18849_cov_2.756970_14	K11927
NODE_95_length_14557_cov_2.380457_12	K11921
NODE_76_length_15977_cov_2.519685_6	K11917
NODE_132_length_12326_cov_3.080580_14	K11754
NODE_153_length_11200_cov_2.925404_9	K11753
NODE_247_length_8589_cov_2.223824_5	K11752
NODE_169_length_10681_cov_3.163729_3	K11749
NODE_771_length_2347_cov_2.647297_1	K11747
NODE_220_length_9260_cov_2.712252_3	K11746
NODE_549_length_4296_cov_2.332454_4	K11733
NODE_201_length_9816_cov_2.482300_5	K11731
NODE_349_length_6585_cov_2.373026_6	K11720
NODE_642_length_3369_cov_2.056447_1	K11717
NODE_45_length_19068_cov_2.695687_2	K11690
NODE_475_length_5049_cov_2.545307_2	K11688
NODE_122_length_12660_cov_2.575999_6	K11617
NODE_579_length_4011_cov_2.026777_2	K11529
NODE_75_length_16242_cov_2.936395_1	K11527
NODE_118_length_12873_cov_2.170093_1	K11527
NODE_466_length_5102_cov_2.215075_1	K11527
NODE_345_length_6621_cov_2.397136_4	K11517
NODE_270_length_8088_cov_2.346816_8	K11477
NODE_87_length_15415_cov_2.190018_9	K11475
NODE_322_length_7084_cov_2.288630_2	K11473
NODE_322_length_7084_cov_2.288630_4	K11472
NODE_17_length_26507_cov_2.598218_12	K11441
NODE_953_length_1248_cov_2.618198_1	K11250
NODE_833_length_2015_cov_2.175318_1	K11231
NODE_44_length_19249_cov_2.557996_8	K11209
NODE_299_length_7526_cov_2.608461_5	K11209
NODE_195_length_9941_cov_2.374873_3	K11206
NODE_63_length_17483_cov_2.868749_8	K11187
